Epoch,Train Loss,Val Loss,Accuracy
1,0.4247912793874741,0.42945705292224884,79.67
2,0.31127072040215137,0.30387260258197785,86.315
3,0.28902392602413896,0.2882915598750114,87.24499999999999
4,0.2709798315525055,0.3058805670142174,85.925
5,0.26531156644150616,0.43017354719638823,81.095
6,0.2564054648116231,0.37411347533464434,82.71
7,0.2528217375323176,0.24827486402988433,89.265
8,0.24728911728709937,0.2839971366286278,87.03
9,0.24056562633104622,0.24336078234910966,89.275
10,0.23821826648265124,0.2247831968486309,90.305
11,0.23734575674384834,0.24739078651070595,89.285
12,0.23489738397151233,0.22954378385543822,90.045
13,0.23098925082162022,0.23307648842930795,90.13
14,0.2296504091411829,0.21883629676103591,90.545
15,0.22820638067051768,0.22198853412270547,90.375
16,0.22763393049240113,0.21928029827475548,90.595
17,0.22618169251047074,0.22321735711693763,90.31
18,0.2224218865968287,0.21450670546293257,90.545
19,0.22195830815918743,0.21774762991666793,90.55
20,0.22256381476596,0.21727755461931228,90.64
21,0.2191237741559744,0.22433018310070038,90.075
22,0.21764866431728006,0.21073805653452873,90.69
23,0.21968082195334138,0.20498212765753268,91.095
24,0.21812520994506776,0.2094171947836876,90.805
25,0.21580171289145947,0.2182676203608513,90.385
26,0.21347135911621154,0.20197370379567145,91.14999999999999
27,0.21369239246845245,0.20584693331122397,91.0
28,0.21477719889357685,0.20709117636680602,90.995
29,0.2137041272163391,0.2074682005226612,91.05499999999999
30,0.2132697099316865,0.21406305156052113,90.94
31,0.21381212900578975,0.19850509766340255,91.345
32,0.21122952472791076,0.20951054783761502,90.69500000000001
33,0.211579845675081,0.2086772435247898,91.125
34,0.20864389505274594,0.21535243952274322,90.61
35,0.21019260557703673,0.2061466637611389,91.185
36,0.20909353351667523,0.2039176799893379,91.10000000000001
37,0.20886201216503977,0.20045146906375885,91.485
38,0.2078626164805144,0.20100485577583313,91.255
39,0.20683068943582475,0.21743201941251755,90.73
40,0.20872906683199108,0.2111471098303795,90.365
41,0.2062646572563797,0.2013342309474945,91.265
42,0.20562390301786362,0.21018431090712547,90.8
43,0.20505902737490833,0.21280313654541969,90.63
44,0.2051701422188431,0.19429827272295952,91.42
45,0.20541961818672716,0.19914909543991088,91.21000000000001
46,0.20457598014958203,0.19140056279301643,91.67
47,0.20261971801817416,0.21160896851420402,90.645
48,0.2039237506058067,0.1996534967839718,91.47999999999999
49,0.2054269292909652,0.19747181767225266,91.525
50,0.20200998464152217,0.20978200632333754,90.745
51,0.20272731874510647,0.20111414332389832,91.325
52,0.20039636051245033,0.1952320259809494,91.45
53,0.205151097452268,0.23152718443870546,89.92
54,0.2023540830541402,0.20086024500131608,91.32000000000001
55,0.19970139995440842,0.22757406488656998,90.255
56,0.2027611331488937,0.18763493995070457,91.89500000000001
57,0.20239988066554068,0.19886044077277185,91.235
58,0.20117761457674205,0.2128560885488987,90.79
59,0.2018850158430636,0.19175058420300484,91.79
60,0.200973349814862,0.20999590381085873,91.005
