Epoch,Train Loss,Val Loss,Accuracy
1,0.5665811681300401,0.5201220112800599,73.515
2,0.5178651533305645,0.5006675297737122,75.185
3,0.5046043738335371,0.4956528795719147,75.895
4,0.4964288397759199,0.4835322606563568,76.685
5,0.49311661143600943,0.4840631488800049,76.22
6,0.487750204333663,0.49586191787719724,75.49
7,0.486364741191268,0.48389732480049136,76.595
8,0.4824900014877319,0.46791966066360474,77.60000000000001
9,0.47843737608492376,0.4669599074840546,77.60000000000001
10,0.4735128345936537,0.47174860122203827,77.295
11,0.4736664583951235,0.4735794282436371,77.01
12,0.4696926403105259,0.462640291428566,77.515
13,0.46852718411684036,0.4672222728729248,77.415
14,0.4646895543128252,0.4596746231555939,77.96
15,0.46158513330817225,0.4621989435195923,77.72
16,0.46201421624422073,0.4513966887712479,78.69500000000001
17,0.457481252849102,0.49288054761886596,75.395
18,0.45935793945193293,0.45080816309452054,78.955
19,0.45662839156985285,0.45027462439537047,78.91
20,0.4551649129629135,0.4473022698879242,78.945
21,0.4538781900078058,0.44464662544727324,79.10000000000001
22,0.45386831190884114,0.44261430959701537,79.11500000000001
23,0.45227734040319917,0.4383584131002426,79.12
24,0.45033805980980396,0.466626478099823,77.27000000000001
25,0.4516071668982506,0.4447636131286621,78.85
26,0.44622164744734766,0.4537581888437271,78.29
27,0.4481376267492771,0.43895895538330076,79.25
28,0.44727700912058355,0.4572403795003891,78.14
29,0.44704518743753435,0.44222504947185515,79.24
30,0.44194926860034467,0.4551346877813339,78.35499999999999
31,0.4421435322612524,0.4518169360399246,78.205
32,0.4450166732221842,0.44210370218753814,79.035
33,0.4412719106644392,0.4517084573507309,78.455
34,0.4391898103445768,0.43714333498477936,79.455
35,0.43788820184469224,0.43349289100170135,79.635
36,0.44119480312168596,0.42546640391349794,80.10000000000001
37,0.4390021740347147,0.4356093212366104,79.465
38,0.4386833726584911,0.458644721031189,77.875
39,0.43836047136187556,0.4237934588909149,80.2
40,0.4391607429563999,0.4371561681985855,79.61500000000001
41,0.4372817535430193,0.4423284723520279,79.11500000000001
42,0.43357913582623003,0.4360379083395004,79.365
43,0.4339862577557564,0.43859083390235903,79.36999999999999
44,0.4344573085576296,0.4274123972654343,80.135
45,0.43417316491007807,0.42380387308597567,80.305
46,0.43253598302006724,0.4432381854772568,78.88
47,0.43280615074634554,0.41966979210376737,80.4
48,0.43269299488663676,0.43738488829135896,79.3
49,0.43030738456547263,0.43267806494235994,79.725
50,0.4306793251544237,0.4185356062889099,80.245
51,0.4291878716379404,0.4209699044466019,80.33500000000001
52,0.4288681545853615,0.422287740445137,80.155
53,0.42726600666344167,0.42531962099075316,80.15
54,0.4280552569627762,0.42918914737701414,79.875
55,0.427443087926507,0.4205250601053238,80.535
56,0.42654646506011484,0.42415688409805297,80.16
57,0.42750821211934087,0.45050674273967745,78.64
58,0.4267967228770256,0.47152476840019225,77.09
59,0.4243206416964531,0.42505653393268583,79.95
60,0.42651774113178254,0.41681620783805845,80.52
