Epoch,Train Loss,Val Loss,Accuracy
1,0.5970115310709325,0.5989707168579101,66.73
2,0.5955043639082642,0.6173228008270264,65.225
3,0.5960048340876277,0.597032718372345,67.335
4,0.5974351088956842,0.6012585204124451,67.045
5,0.5977319778203726,0.6117662529468536,65.825
6,0.5979203423472124,0.5957798989295959,67.2
7,0.5981701857339047,0.6007051108837128,66.75999999999999
8,0.5959703329085732,0.5956131774902343,67.45
9,0.5958555210735578,0.5916346688270568,67.75
10,0.5960466926680925,0.5980798692703247,66.91
11,0.595445323403991,0.5940434980869294,67.905
12,0.5948979786409662,0.5880225329875947,67.78999999999999
13,0.5942151457565924,0.6061035852909088,65.66
14,0.5943086469943369,0.5904615431785584,67.96
15,0.5951923538663105,0.5914218330383301,67.41
16,0.597022209816326,0.5942460756778717,67.62
17,0.5943934189584393,0.5955071288585663,67.565
18,0.5955374847469604,0.6039614787101746,66.385
19,0.5955191118684775,0.6076876640796661,65.925
20,0.5946515816744508,0.604051816368103,67.065
21,0.5932089529009348,0.5888460358142853,68.0
22,0.5939728613735032,0.5900839840888977,67.56
23,0.5938104327452991,0.5951801369190216,67.31
24,0.593514795494995,0.5944088901996613,67.595
25,0.595793957151048,0.6073143444538116,65.905
26,0.5928569296805102,0.5925530213356018,67.685
27,0.5940913504864473,0.5886078001976013,67.88
28,0.5923158020895497,0.6058366328239441,66.135
29,0.5926636586968028,0.5963344979286194,67.58
30,0.592003081148087,0.5855746519565582,68.415
31,0.5930081002177345,0.588990634059906,67.845
32,0.5909662831027542,0.5916510713100434,67.86
33,0.5911642928536809,0.6112567061424256,65.925
34,0.5935124184841681,0.5874382601261139,68.015
35,0.5909381392636291,0.6037190222263337,67.03
36,0.5937356556196066,0.6284730412960052,64.515
37,0.592396582836772,0.597420930147171,66.93
38,0.5894577278956917,0.5888081037044525,67.815
39,0.5892234082175264,0.5912274585723877,67.80000000000001
40,0.5907248333737126,0.5937249092578888,67.54
41,0.591306096707504,0.5890985665798187,68.24
42,0.590001990612305,0.5925665822982789,67.13
43,0.5915169011495324,0.6032465571880341,66.925
44,0.5914804273320541,0.5889763932228088,67.935
45,0.5912517706433956,0.5809437511444092,68.35
46,0.5884667469117432,0.5922344392299652,67.705
47,0.5899921699693932,0.5866586374282837,68.10000000000001
48,0.5899060792778521,0.5965343046665191,67.06
49,0.5891448996456068,0.5835228281021119,68.42
50,0.5892349118007418,0.585080119562149,68.645
51,0.5887361832188025,0.5934211757659912,67.39500000000001
52,0.5891428080362645,0.5853907750606537,68.195
53,0.5880842451099287,0.5932907232761383,67.105
54,0.5900569761235627,0.5821379072666168,68.675
55,0.5880467693785671,0.5863305241584778,68.245
56,0.5892820230330784,0.5888074676990509,68.12
57,0.5864861433004479,0.5904271404266357,68.02
58,0.5896590453246859,0.5850704280376434,67.97999999999999
59,0.5861620114305405,0.5902771012306214,67.845
60,0.5871760813272421,0.5862492625713348,68.265
